Type,Product,Start Date,End Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2023-01-26 22:02:47,2023-01-27 10:10:12,Tesco Stores 6601,-6.35,0,GBP,COMPLETED,521.07
CARD_PAYMENT,Current,2023-01-26 16:13:50,2023-01-27 11:50:32,Zettle_*donovan?s Bake,-2.5,0,GBP,COMPLETED,518.57
CARD_PAYMENT,Current,2023-01-26 08:26:35,2023-01-27 13:42:55,apple.com/bill,-3.99,0,GBP,COMPLETED,514.58
CARD_PAYMENT,Current,2023-01-27 13:16:59,2023-01-28 09:59:20,Tesco Stores 6601,-4.85,0,GBP,COMPLETED,509.73
CARD_PAYMENT,Current,2023-01-27 10:43:22,2023-01-28 11:48:36,Zettle_*the Good Eatin,-3.3,0,GBP,COMPLETED,506.43
CARD_PAYMENT,Current,2023-01-27 19:07:07,2023-01-28 15:51:42,Toogoodtog Mzs3m03xcn9,-5,0,GBP,COMPLETED,501.43
CARD_PAYMENT,Current,2023-01-28 01:14:16,2023-01-29 08:55:25,Montys Bar,-21,0,GBP,COMPLETED,480.43
CARD_PAYMENT,Current,2023-01-28 16:26:00,2023-01-29 09:41:04,Amznmktplace,-8.99,0,GBP,COMPLETED,471.44
CARD_PAYMENT,Current,2023-01-28 19:59:36,2023-01-29 09:49:29,Tesco Stores 6601,-8.65,0,GBP,COMPLETED,462.79
CARD_PAYMENT,Current,2023-01-27 22:59:58,2023-01-29 10:08:56,Urban 40,-12.6,0,GBP,COMPLETED,450.19
CARD_PAYMENT,Current,2023-01-27 22:06:03,2023-01-29 10:08:56,Urban 40,-6.1,0,GBP,COMPLETED,444.09
CARD_PAYMENT,Current,2023-01-29 02:39:46,2023-01-29 10:55:55,Tfl Travel Charge,-4.25,0,GBP,COMPLETED,439.84
CARD_PAYMENT,Current,2023-01-28 15:06:44,2023-01-29 11:31:51,Sq *lavelle Coffee Limite,-3.2,0,GBP,COMPLETED,436.64
CARD_PAYMENT,Current,2023-01-29 15:08:04,2023-01-31 14:06:07,Tubebuddycom*,-2.43,0.02,GBP,COMPLETED,451.69
CARD_PAYMENT,Current,2023-01-29 15:11:03,2023-01-31 14:45:55,Sp Blomma Beauty,-35,0,GBP,COMPLETED,416.69
CARD_PAYMENT,Current,2023-01-29 20:03:55,2023-01-31 15:11:28,Uber* Trip,-13.46,0,GBP,COMPLETED,403.23
CARD_PAYMENT,Current,2023-01-29 14:31:09,2023-01-31 17:29:48,Caravan,-27.67,0,GBP,COMPLETED,375.56
CARD_PAYMENT,Current,2023-01-30 01:57:58,2023-01-31 17:41:29,Tfl Travel Charge,-4.25,0,GBP,COMPLETED,371.31
CARD_PAYMENT,Current,2023-01-31 02:36:53,2023-01-31 18:03:14,Tfl Travel Charge,-1.65,0,GBP,COMPLETED,369.66
CARD_PAYMENT,Current,2023-01-29 19:13:59,2023-01-31 18:46:41,Hart Shoreditch Hotel,-3.6,0,GBP,COMPLETED,366.06
CARD_PAYMENT,Current,2023-01-30 19:03:58,2023-01-31 19:00:20,Tesco Stores 6601,-4.25,0,GBP,COMPLETED,361.81
CARD_PAYMENT,Current,2023-01-30 13:41:48,2023-01-31 19:32:36,Lidl Gb London,-8.12,0,GBP,COMPLETED,343.69
CARD_PAYMENT,Current,2023-01-30 11:55:40,2023-01-31 19:55:25,E5 Bakehouse Canning T,-12.36,0,GBP,COMPLETED,331.33
CARD_PAYMENT,Current,30-02-2023 11:55:40,02-02-2023 11:55:40,Amznmktplace,-17.07,0,GBP,COMPLETED,555.43
CARD_PAYMENT,Current,30-02-2023 11:55:40,02-02-2023 12:55:40,Starbucks,-3.95,0,GBP,COMPLETED,551.48
CARD_PAYMENT,Current,30-02-2023 11:55:40,02-02-2023 01:55:40,Tfl Travel Charge,-2.6,0,GBP,COMPLETED,548.88
CARD_PAYMENT,Current,30-02-2023 11:55:40,02-02-2023 01:15:40,Millennium Mini Store,-5,0,GBP,COMPLETED,543.88
